iter	Passed	Remaining
0	0	418
1	0	402
2	1	397
3	1	384
4	1	379
5	2	376
6	2	370
7	2	362
8	3	354
9	3	350
10	3	345
11	4	344
12	4	341
13	4	335
14	5	331
15	5	327
16	5	323
17	5	321
18	6	320
19	6	318
20	6	315
21	7	318
22	7	319
23	7	320
24	8	317
25	8	316
26	8	314
27	9	312
28	9	313
29	9	313
30	10	314
31	10	312
32	10	310
33	10	309
34	11	308
35	11	309
36	11	310
37	12	312
38	12	311
39	13	312
40	13	313
41	13	314
42	14	314
43	14	313
44	14	313
45	15	311
46	15	312
47	15	311
48	15	309
49	16	308
50	16	306
51	16	305
52	17	305
53	17	305
54	17	305
55	18	306
56	18	305
57	18	304
58	19	303
59	19	304
60	19	304
61	20	305
62	20	304
63	20	304
64	21	304
65	21	304
66	21	304
67	21	301
68	22	300
69	22	299
70	22	298
71	23	297
72	23	296
73	23	295
74	23	294
75	24	294
76	24	295
77	24	295
78	25	294
79	25	294
80	25	294
81	26	294
82	26	294
83	26	293
84	27	291
85	27	290
86	27	289
87	27	289
88	28	289
89	28	290
90	29	290
91	29	290
92	29	290
93	30	291
94	30	290
95	30	289
96	31	288
97	31	288
98	31	288
99	32	288
100	32	288
101	32	286
102	32	286
103	33	286
104	33	286
105	33	285
106	34	284
107	34	284
108	34	284
109	35	283
110	35	283
111	35	282
112	35	281
113	36	281
114	36	280
115	36	280
116	37	280
117	37	279
118	37	278
119	37	278
120	38	277
121	38	276
122	38	274
123	38	274
124	39	274
125	39	274
126	39	273
127	39	272
128	40	271
129	40	271
130	40	270
131	41	270
132	41	269
133	41	269
134	41	268
135	42	267
136	42	267
137	42	267
138	43	267
139	43	267
140	43	267
141	44	266
142	44	266
143	44	266
144	45	266
145	45	265
146	45	265
147	46	265
148	46	266
149	46	266
150	47	265
151	47	265
152	47	264
153	48	264
154	48	263
155	48	263
156	48	262
157	49	262
158	49	262
159	49	261
160	50	261
161	50	260
162	50	259
163	50	259
164	51	259
165	51	258
166	51	258
167	52	258
168	52	258
169	52	258
170	53	257
171	53	257
172	53	257
173	54	257
174	54	257
175	54	257
176	55	257
177	55	257
178	55	256
179	56	256
180	56	255
181	56	255
182	57	255
183	57	255
184	57	254
185	58	254
186	58	253
187	58	253
188	58	252
189	59	252
190	59	251
191	59	251
192	59	250
193	60	250
194	60	250
195	61	250
196	61	250
197	61	249
198	61	249
199	62	248
200	62	248
201	62	248
202	63	248
203	63	248
204	64	248
205	64	248
206	64	248
207	65	247
208	65	247
209	65	246
210	65	246
211	66	246
212	66	245
213	66	245
214	66	244
215	67	244
216	67	243
217	67	243
218	68	243
219	68	242
220	68	242
221	69	242
222	69	242
223	69	242
224	70	241
225	70	241
226	70	240
227	70	240
228	71	239
229	71	239
230	71	239
231	72	239
232	72	239
233	72	238
234	73	238
235	73	238
236	74	238
237	74	238
238	74	238
239	75	237
240	75	237
241	75	236
242	75	236
243	76	235
244	76	235
245	76	235
246	77	234
247	77	234
248	77	233
249	77	233
250	78	232
251	78	232
252	78	232
253	79	232
254	79	231
255	79	231
256	80	231
257	80	231
258	80	230
259	80	230
260	81	230
261	81	230
262	81	229
263	82	229
264	82	228
265	82	228
266	83	227
267	83	227
268	83	227
269	83	226
270	84	226
271	84	226
272	84	225
273	85	225
274	85	225
275	85	225
276	86	224
277	86	224
278	86	224
279	87	223
280	87	223
281	87	223
282	88	223
283	88	222
284	88	222
285	89	222
286	89	222
287	89	222
288	90	221
289	90	221
290	90	221
291	91	220
292	91	220
293	91	220
294	92	220
295	92	219
296	92	219
297	92	218
298	93	218
299	93	218
300	93	217
301	94	217
302	94	217
303	94	216
304	94	216
305	95	216
306	95	215
307	95	215
308	96	214
309	96	214
310	96	214
311	97	214
312	97	214
313	97	213
314	98	213
315	98	212
316	98	212
317	98	212
318	99	211
319	99	211
320	99	211
321	100	211
322	100	210
323	100	210
324	101	210
325	101	209
326	101	209
327	102	209
328	102	208
329	102	208
330	103	208
331	103	208
332	103	207
333	104	207
334	104	207
335	104	206
336	104	206
337	105	205
338	105	205
339	105	204
340	105	204
341	106	204
342	106	203
343	106	203
344	106	202
345	107	202
346	107	202
347	107	201
348	107	201
349	108	200
350	108	200
351	108	200
352	109	199
353	109	199
354	109	199
355	109	198
356	110	198
357	110	198
358	110	197
359	110	197
360	111	196
361	111	196
362	111	196
363	112	196
364	112	195
365	112	195
366	113	194
367	113	194
368	113	194
369	113	193
370	114	193
371	114	193
372	114	192
373	114	192
374	115	192
375	115	191
376	115	191
377	116	190
378	116	190
379	116	190
380	116	189
381	117	189
382	117	188
383	117	188
384	117	188
385	118	187
386	118	187
387	118	187
388	119	186
389	119	186
390	119	186
391	119	185
392	120	185
393	120	185
394	120	184
395	120	184
396	121	184
397	121	183
398	121	183
399	122	183
400	122	182
401	122	182
402	123	182
403	123	182
404	123	181
405	124	181
406	124	181
407	124	181
408	125	180
409	125	180
410	125	180
411	125	179
412	126	179
413	126	179
414	126	178
415	127	178
416	127	178
417	127	177
418	128	177
419	128	177
420	128	177
421	129	176
422	129	176
423	129	176
424	129	175
425	130	175
426	130	175
427	130	175
428	131	174
429	131	174
430	131	174
431	132	173
432	132	173
433	132	173
434	133	172
435	133	172
436	133	172
437	134	172
438	134	171
439	134	171
440	134	170
441	135	170
442	135	170
443	135	169
444	136	169
445	136	169
446	136	168
447	136	168
448	137	168
449	137	167
450	137	167
451	138	167
452	138	166
453	138	166
454	138	166
455	139	166
456	139	165
457	139	165
458	140	165
459	140	164
460	140	164
461	141	164
462	141	163
463	141	163
464	141	163
465	142	162
466	142	162
467	142	162
468	142	161
469	143	161
